train,test
-425.4665068708437,-487.01590014109314
-507.13091447027625,-464.3665055769828
-527.0050812339708,-405.2807148748692
-509.78550876916086,-452.1717256196217
-458.40091221425627,-411.3919374760345
-420.92148260550636,-461.172544829537
-472.7658786781241,-535.4992421074825
-446.9984473470283,-475.8214938451381
-408.14375118012,-420.7228994740613
-514.6861684468957,-458.04950017023276
-426.4498052930883,-454.9126021058526
-439.9807279905688,-518.3143032837063
-418.78597545264864,-464.77852087438515
-452.9959027415944,-432.1656363525526
-460.0747131125002,-439.7775947284707
-528.3908452542255,-431.6592373745395
-551.3675405891003,-421.53292560881874
-504.29053173625437,-439.81222492866607
-536.1624158349138,-453.92638467082156
-474.04566564736507,-425.89663779499887
-436.75390820348963,-416.00639659264266
-500.43676050217243,-483.96757762238144
-467.09395931106684,-465.55588641106766
-438.993752120082,-498.51447217717174
-490.3889266032195,-451.32171701542023
-457.72701549253156,-549.9268638482075
-494.9731026939213,-428.6577848998385
-445.30167548013856,-482.41590604242185
-428.3269608616329,-443.18447794878585
-461.60317040377475,-518.2238476000412
-434.70663747400715,-553.45422783687
-408.0874420754887,-485.0513391022447
-453.8607518257566,-499.20304616181517
-459.7922506406642,-427.039583814381
-479.55075363392046,-474.38844954340834
-405.39336336119317,-487.2135593907189
-462.570687516175,-495.1867913833165
-491.92789027239075,-505.2027644187819
-445.39241587977887,-470.8395654880605
-454.7612530284724,-385.4719636801568
-412.82878749162484,-454.62438417616073
-549.5773636653422,-394.56498932317004
-417.8455465150704,-418.8758580566967
-458.16669136021136,-397.2461868534832
-430.715751382998,-457.5228039549832
-412.53681643941377,-436.9008096360293
-478.5266503051734,-448.34530724505
-418.9159376448503,-448.26121686891776
-580.0862411567024,-474.70565212784885
-416.04969433408195,-439.994157503566
-480.02392561391287,-471.19570909438215
-384.11294205840653,-512.705711125782
-455.17213853146075,-410.2198039459095
-425.2459141642162,-484.5408007946689
-435.5388720410292,-427.3668901090241
-433.87705979366734,-453.722502548273
-390.41162247537176,-503.4780482853776
-366.8507136554282,-452.8577564318317
-492.41487688389554,-414.05912596638717
-444.1487626014114,-390.6942601448831
-460.80117497597814,-447.0613385411008
-445.2790359363197,-388.7236522450439
-476.12236168450494,-429.1310717804988
-409.1996612393783,-526.671793567371
-471.0265272193403,-413.4027484383071
-389.0204917745953,-467.73636763720174
-515.7458528780132,-517.6942912398592
-418.2064438297086,-461.7329637996122
-375.95717497949863,-407.4906654230037
-391.3246206162835,-439.35163694635116
-475.770459720925,-483.6683750789729
-510.2638071978328,-514.2379924994045
-496.0063296840914,-506.1835501491775
-422.38747797991266,-496.8532925884271
-469.3631806649356,-391.84837566951234
-425.39875403443375,-397.97957333999653
-393.12142070069484,-492.58140132458686
-451.8809530095621,-420.3304052611533
-404.0651838007998,-433.7527335349573
-467.30179949154916,-445.35605492244173
-523.2269170916342,-481.40558762916055
-395.26629129396315,-372.74452183252566
-425.863400058721,-458.1058269648592
-429.3325316348879,-434.9826310068878
-431.0324684881365,-476.6628578656394
-379.72744283185074,-408.65383676147286
-457.8336723222718,-358.286194934646
-387.8189403266618,-404.8263220507361
-470.9695854864934,-481.42399525378033
-401.33369201173446,-473.7750433121336
-433.7574521048754,-462.6025190243401
-437.5555999097071,-420.424065121052
-434.6272092033011,-431.8809537904702
-376.0221119180247,-457.9352628587779
-504.4728580066555,-470.23828723066237
-476.2653043501976,-436.9946192222421
-415.49942540808456,-418.6916587884899
-433.0631828065511,-458.2372562881084
-421.914671905561,-449.54770264311514
-387.3379327680689,-446.5522906117955
-476.8971749693439,-458.19477286228613
-423.42747402129544,-393.1145214384414
-396.9008088948073,-460.72636909949966
-446.23080032550047,-391.66038926116613
-418.3511978320849,-447.67567787757025
-401.9548497516746,-450.3990850756961
-431.6763884924702,-362.62298533240715
-357.9035048642757,-468.26485957645235
-403.28491888616816,-442.72605461235446
-433.25777448011144,-406.4957816778411
-419.8765176453339,-433.4607927094328
-426.0406629198467,-437.5899066516171
-425.2633205578899,-422.86797951503155
-448.491296359997,-421.3106806367765
-463.6177854580377,-393.32388669068405
-401.17887388560354,-364.3363269286989
-428.6258515052558,-391.9210613325644
-396.2121327408112,-401.01672286164677
-442.7654324832965,-343.64365557469574
-399.22005103367127,-460.7600421959204
-482.9003999631508,-453.6961688179194
-401.37651055069733,-377.5023478578426
-413.7022342864884,-412.53027817669727
-434.08228880548484,-435.9637981383085
-462.8990358156412,-449.8757795380869
-417.16163052173437,-450.86661445851456
-389.76473657360646,-481.7255980743239
-411.50175853369035,-377.05286522292624
-413.7973130116444,-454.2113738602683
-365.22312153014644,-472.5276341460535
-479.1361189138226,-446.65904085198025
-436.2370800712796,-397.63241010430716
-397.79746826176995,-438.5584234732918
-380.95926458599547,-448.6060751581847
-438.4459906531716,-436.3406669573193
-441.4477966432533,-391.9795718185805
-370.269281555538,-374.89007608059126
-377.98747035198534,-434.788381899229
-369.74544600596664,-376.49083265649466
-389.4277824033139,-440.97545729883575
-431.5646242384739,-419.6246105698581
-464.64288371689406,-421.9823040052262
-412.50350680093226,-367.4933172700237
-395.44857824619106,-414.9098593043533
-351.6351109953488,-427.9162270974983
-404.80050974794256,-347.8863292937836
-373.66024171751985,-407.6657863776926
-412.54217306521923,-405.64244287039264
-467.52036575148554,-398.66367367161433
-430.62923798076196,-467.9443646608181
-434.8792786042865,-340.80298904434744
-409.74319057050934,-475.44074280190665
-436.4205385007191,-426.0718812420757
-414.3082660183992,-398.56652114580766
-426.53203460606227,-357.7490204658042
-365.2649081975881,-459.7591762924225
-411.3089243680858,-409.5045104464031
-387.2696193075188,-419.11196739874754
-377.6256818411672,-380.7786215117957
-362.80733952061513,-418.87994837706424
-377.1433790713218,-480.7063937927641
-382.04859167293586,-380.25980217821706
-423.14129706630405,-394.618479018812
-366.91810463780604,-417.4253964283589
-382.63828848621984,-391.8112015928748
-399.7193746759516,-361.88083480527445
-396.73550482070834,-384.0809162997746
-401.32529042689544,-395.6777962178865
-316.42470581954495,-405.93244018746793
-399.88193936327315,-412.14069645311946
-413.49624726762715,-395.5595296035626
-400.9765466896289,-436.554103609106
-381.2329739678247,-441.815526810791
-388.1111978017554,-371.8708007541837
-446.599095107243,-388.89286925944344
-465.62211701841983,-363.04353736399185
-412.56133563484985,-409.14999765430605
-433.00483943525063,-352.06353527273745
-366.86276385307224,-373.6052321965675
-349.17941829895375,-387.0155635927484
-323.03113292840834,-410.301538368
-378.06069398842976,-387.36592969091055
-456.89210171861026,-461.93068269460673
-390.67731825457355,-426.92325440346184
-444.10281851410053,-355.003867049878
-398.1033487519832,-374.62821927338365
-373.13193943134104,-375.45960405466354
-386.7198717422408,-401.77924213544054
-379.2399315731009,-375.9307723783989
-351.81954024084126,-341.9283685309118
-432.93301548167386,-350.4245816140352
-351.69676741044225,-386.2075778939349
-414.11903533961595,-357.1983596805677
-356.0019010300842,-390.52138847975704
-424.32185631379963,-351.8716096772301
-387.2005664552011,-428.1303793067827
-358.80648391203545,-372.6635278781271
-407.95979573386546,-381.2283239193951
-380.46258846026495,-425.483714007265
-442.2687941865542,-406.17755673804504
-339.10689882956206,-370.95703514473973
-400.58335315192403,-438.0026779537032
-412.5860404000312,-383.7128725297516
-370.08977539238197,-374.9027012954274
-385.86257481776755,-401.4951658981673
-311.20928268369414,-368.1483153008877
-430.3809647618822,-382.78512466653945
-416.2384736975939,-350.95838133270917
-430.40833622452095,-385.5147101460797
-382.68166626837717,-402.6736457705034
-433.872260140789,-344.897295661989
-334.06159785934267,-341.6958884353355
-392.87408099697956,-395.72197538268966
-363.3533712857308,-392.32837505101395
-389.79381132138406,-425.45329973581715
-330.16205483101953,-409.713652438882
-396.7838313800398,-395.77507366653117
-331.1493786302214,-433.58986925734433
-360.1808132071559,-335.70461680662004
-348.9456411885792,-384.71690494259593
-338.4319829606903,-341.77730172072245
-379.7276997581543,-339.0159113069948
-408.0504268951133,-410.70497285643745
-386.8873309193842,-436.9587257648857
-390.5553044168959,-376.8068587221132
-377.9647307365567,-317.7101941668018
-371.5901864901026,-381.5721581759291
-383.8778537288881,-383.7556959157094
-420.9613244709438,-370.3278780707185
-414.85088019276765,-361.23461255185845
-372.8404136947494,-343.51944556904573
-368.2755092324066,-385.7148690892689
-339.52072301153964,-394.10667575339676
-352.1462668141273,-377.3832744009208
-371.55991137121964,-409.57476799530303
-339.8314859388093,-385.36165088626467
-396.1868127844705,-349.4142837697057
-353.3749840514612,-329.66867791580177
-381.95493328782044,-353.7120492092356
-361.33993570189904,-347.16248904722073
-387.94072137144815,-366.79189536858246
-394.6290486393928,-392.73831466890095
-366.64832426846647,-374.7532300154592
-367.9352464798759,-334.2585612918515
-376.96199452936156,-412.62063240599537
-353.60595785792054,-443.06622105332474
-385.14883691685844,-388.7270393835847
-395.2739526584354,-350.1643069776641
-392.91169872972404,-343.1647549589465
-331.5780513020497,-393.2664664537768
-381.0356730080372,-336.4635701749423
-330.4589373895618,-334.754109750862
-344.04989892703213,-388.6299746212975
-381.52787945787776,-384.28738906823685
-354.44880340896844,-365.13013225966455
-336.93792295381684,-344.3098436394379
-365.7089962310609,-373.1454010581027
-388.83752354702347,-389.53138224455995
-361.80587791389434,-392.37031606258256
-405.0082513101825,-402.03701471288923
-327.38889204527294,-347.6115761076671
-367.79207659019875,-406.56467758708453
-376.51464622644625,-404.54477086305474
-322.89624089305244,-346.63190876165686
-334.3614403078387,-367.86880411991194
-297.3428745845967,-383.11679646841037
-303.1570883567923,-338.5009052839607
-293.2092447925519,-329.08840304972017
-342.77276853058316,-342.24113882273144
-335.78482600109686,-338.0020937115016
-359.3192273235288,-374.95746574577896
-363.7591486982927,-363.4562464172777
-380.115503180898,-355.2530332492711
-351.9345267336086,-342.2079518296106
-427.3762219747366,-328.9234447285795
-348.02772581046963,-397.03452472247807
-346.2677343235719,-321.4855520213658
-331.398190059681,-333.6085980072776
-369.43599802021265,-352.8735615660056
-321.25336169062257,-309.60191409794743
-376.31128813019404,-358.069954638959
-386.19919013947845,-324.46163298423346
-360.44655780375643,-379.6415744240277
-375.47134503768683,-379.6762644386233
-324.0166800592948,-307.20586785718706
-371.63352554235126,-326.6160898287595
-392.05410893837677,-407.0705695036811
-361.05763425865473,-351.534570492065
-348.3336749126714,-384.05814341915834
-394.4065392633414,-365.3759972945149
-392.4026517024938,-357.30201355123825
-343.52701432481456,-335.3525008122329
-365.6275586462757,-354.8093536804993
-378.00757864603634,-351.6843718415397
-307.95507833106905,-324.813050305523
-366.26022434555733,-382.65136419119744
-374.0539524085702,-338.70103819979806
-362.17483679244503,-329.0420855114065
-298.4419155380707,-345.96262644987763
-296.4300894341828,-365.62691060103737
-320.1863417266301,-377.6924259796999
-405.44928215488255,-343.5247496513739
-369.4113918058185,-291.3295923938582
-356.69447877454405,-323.69132924532295
-320.9750534749785,-356.95057489242373
-367.06062043490556,-306.7667464440798
-322.644635339276,-303.1350442654362
-358.78802865742335,-338.3929679439738
-348.7439608492703,-358.21207264320725
-362.7023362246617,-403.54315696623587
-361.6501311676973,-346.79842670120047
-323.8576097413054,-346.69347185939216
-328.74509370662116,-314.93678778722966
-299.4955801008958,-315.7332689232064
-369.0156733921318,-324.8802071906142
-389.98550645527916,-300.68296672651434
-278.7834545226438,-367.21333501812586
-349.90985749470735,-329.7787771984972
-321.20632115542094,-377.75144661595806
-338.7585206700243,-326.0756528674758
-326.332639034652,-373.53359132130856
-333.2092711445449,-393.2689900054343
-352.13506068461226,-301.77636276275797
-314.269968919413,-333.60168017705416
-356.4085839188045,-343.4741756945271
