train,test
-474.11980841179417,-463.29814818179597
-448.88867196626944,-450.68376843318634
-479.15273050315676,-496.09369176586904
-392.97442514088635,-428.8484269319836
-467.57307385159385,-476.5787200842681
-497.79993144812335,-473.71601615004874
-436.56666889517214,-483.5034982616924
-546.7797417757047,-527.1234237821686
-441.7738235956282,-419.28635217363865
-501.5161708284711,-397.9576099610188
-408.2144517102277,-504.70143263949734
-480.84022584263266,-437.29524113619414
-486.95755515516,-381.16947553706166
-490.9265532454689,-527.7032753744342
-449.94532109786803,-478.71098620488806
-439.8086094172399,-434.1769852200869
-465.63189641763546,-505.3007769205072
-417.98806207681963,-491.2578906900456
-422.6545156623742,-520.397619790156
-471.1259774713247,-496.38793505119884
-439.8219730444549,-527.0822400465818
-443.91669716847736,-487.59953228614285
-449.275131304356,-511.494361995675
-468.3936320541104,-483.43097966288707
-455.60112928325447,-395.71700988578846
-468.3392094807694,-516.8275869677601
-407.5433092630465,-373.77532931847185
-478.3255542860236,-485.7695130943399
-519.2834921231587,-474.84020413691866
-473.5365723990956,-511.6378759563994
-444.40844536677264,-487.94560688909553
-430.5378482305143,-437.5818852868806
-517.8215073563065,-421.19707519359747
-438.04762763473553,-415.14765799318275
-438.492810485141,-435.46754367605325
-511.44478178158477,-494.8412954380088
-463.24458949813675,-414.71497723490944
-425.14054092789286,-471.384190197512
-402.7918765738933,-481.1963245562115
-461.04724578676235,-434.51073086365307
-550.6374530738018,-438.1401555629202
-425.4448542768301,-470.45658109951904
-461.5486697424997,-420.88519549206774
-396.66297834309404,-382.87937051626784
-434.4358655879507,-412.82368994771184
-417.62368705855647,-449.2429997953516
-417.751306636017,-469.3304691075793
-435.13726388640174,-396.0940476118573
-402.6391220431173,-422.5801164691213
-444.23844824669834,-398.7509212231347
-433.4081347762548,-437.5960234379565
-426.7856839506081,-490.04805676065814
-474.1911303710216,-439.74954943771553
-473.5443898193526,-536.0140397695048
-440.35230989910895,-504.0154028700538
-460.56254120477786,-464.06678024545687
-457.1366869847369,-434.529422593265
-403.1963761280742,-396.84344555422564
-409.3628419385288,-421.23841611761145
-475.39749195369643,-470.2638474749644
-458.91127545045845,-445.69331222473227
-397.73323929779247,-424.82122046466344
-355.0839880051912,-461.1877190671473
-466.04565450271053,-419.5462447387654
