+train,test
-461.8435754132504,-436.989207089999
-521.958155965502,-535.2506944003458
-461.0358331227092,-472.05959518216594
-436.87581322021185,-456.16942051707184
-434.53565357729633,-427.7652297468928
-466.21633456874326,-458.661452680624
-453.84036140113085,-487.33638701842915
-461.3930845307224,-463.0913968586882
-443.1308388928623,-482.8273988398048
-472.7022666538703,-417.6606994379292
-542.5847392094358,-507.7222095570376
-436.9112872302021,-488.1035824125108
-518.1941474866794,-451.2998610900451
-446.79129873722707,-446.67909305794666
-416.1111200392912,-466.87172799068225
-549.9998734950492,-540.7253995008939
-519.7957547345089,-467.8733720591634
-438.6585496693838,-492.8191109637151
-528.0814038006552,-524.4046264115386
-492.60427132061585,-442.73483417354964
-453.5570486809512,-512.6560145323971
-438.882436518067,-467.2688411369024
-474.1914652160234,-534.754442359824
-495.4375540683507,-426.45637603592485
-389.618586683678,-468.1984428201685
-498.19200716754494,-483.9747449424594
-484.91893339451923,-504.577108082275
-466.12352121095955,-445.03089159757616
-455.9065112489667,-572.7158686695697
-441.39001526885124,-434.7635199997378
-470.95209913854137,-433.43012396324286
-435.8381353810294,-470.13671008455924
-452.2733726747034,-438.7620044564612
-498.40804088162173,-528.1105591202819
-473.99924310798485,-428.5310375491243
-501.93898641405576,-436.8137406605636
-485.31062565438526,-470.7744256924542
-472.9117286800699,-449.000469923026
-481.72240301236565,-426.90537174516857
-472.6495489791139,-469.1093679478787
-453.3646438804319,-521.1318454508563
-491.55794941965394,-479.55294642818393
-438.4359770812364,-466.9150106399688
-423.4169910375841,-473.98557958988556
-480.6573966973311,-442.8834056174115
-445.2985209560616,-457.9957381229116
-522.3063051506864,-418.4571986136759
-491.7310932640067,-435.74415220025935
-412.39365316217146,-465.40488976572465
-477.7963745588353,-414.1884011425727
-404.44382910984456,-422.5914180806507
-463.82548696881895,-426.592325768052
-493.6705858277996,-446.7001748362753
-433.23532312269975,-472.43154894584814
-467.856746094647,-488.056437473268
-458.89967255897415,-432.5418993674115
-412.9878238676931,-455.03351025352333
-461.8249799656089,-472.5609193349675
-425.3960740049875,-418.65055455489914
-546.8566662792829,-436.30825237174844
-445.0163021810642,-451.17873966703814
-423.10715234542914,-406.5874174216794
-430.67054152574576,-432.905790172423
-464.56612671186366,-425.4830247446351
-420.6490532122398,-429.5808320999711
-416.40402819354057,-377.2815221747532
-538.8211043225888,-423.29430090264907
-464.76199561593535,-478.6195092164072
-415.76282805247683,-470.09313580553527
-472.7572968119563,-449.68037315950505
-496.6953646550275,-473.989193067596
-355.3922152194787,-446.3128715993602
-385.6125012866828,-445.9613085427238
-515.4340696998839,-509.3401911100741
-407.96261202927644,-413.7809797463944
-454.71431027138703,-359.2181527859158
-454.9662838272489,-411.8069737139571
-456.3732277683898,-453.6814162044293
-465.6577408832903,-436.8507705823911
-508.886575713275,-463.03285131806916
-400.7739649381211,-481.94875904693146
-460.3927065297844,-422.9637039564775
-488.648873014974,-425.15184584642554
-432.55084419251455,-488.23426723680114
-479.6900580374418,-477.9430605633057
-520.8559113971454,-457.48510888946817
-445.42467775916316,-475.9700507660073
-456.43594192881693,-494.0128936488986
-458.7907876823389,-400.7755999700405
-384.5798075977269,-440.79464760897145
-407.4415920728747,-425.9092589119021
-424.23026678956955,-443.0071448617451
-452.66346442106004,-461.8813163736183
-350.8655968253791,-410.19992654332526
-385.25434609878636,-381.3403771133751
-468.756744373466,-397.58142271403455
-475.9960013299083,-416.3019584526701
-451.1908229226277,-423.9945636670107
-418.0062533004609,-461.45262834101436
-481.7611280367986,-461.1382885385148
-448.07192598329135,-402.913859048158
-418.25729334571923,-471.10919920417757
-474.4758965116714,-464.8974640291933
-395.5332828020782,-397.788393259538
-387.406354992174,-439.28073151297406
-383.6354868635623,-479.02198706854836
-415.9699473666215,-535.2016019967691
-434.05622449256447,-413.2784917303234
-412.9281404723202,-412.2529418936969
-438.71454129145496,-449.3600831392362
-446.51850820832607,-413.7339103858801
-443.55836275274476,-472.40886723639716
-420.0370485412387,-453.8140375448735
-462.96532201053964,-418.3726542983433
-414.8136606027601,-443.2805928748014
-423.13235950425144,-377.87663896125326
-427.78926400818466,-378.85256794826375
-396.10527410197756,-381.1668291652702
-362.4147998995192,-426.38244637659733
-369.4063573254861,-451.05944845348085
-407.4852888130969,-465.9267196083555
-413.13317014384774,-456.0108221160167
-421.22288867214655,-447.87800464428784
-428.8836933021375,-395.9035818081832
-375.9628665113928,-423.2679006706754
-433.77388506948046,-532.453168640596
-420.54450116550754,-401.8719081348501
-348.39066435309996,-403.9605826639337
-438.54601018227163,-424.32888613679955
-376.7451847050868,-382.9470738943189
-440.8120751031532,-411.4701306860743
-374.50465797277286,-436.8148114303232
-427.3721658363185,-361.77686675122925
-378.29603062618503,-386.8753115101609
-442.57333874549613,-407.86164401441437
-371.97224020137963,-386.1021854137368
-441.7418119415819,-390.79673492798184
-401.4328950978672,-427.07716392349107
-440.42878077102444,-412.0465254709727
-434.11888144488154,-387.1211949374303
-430.58868563299006,-429.47340690776446
-413.70584507528696,-387.732284630395
-373.7173519937948,-435.9339995513112
-383.6763224621615,-391.7988798094423
-445.5107951764804,-350.03049869862787
-437.7010836311472,-415.8660871010819
-394.74856084800143,-348.1819909618242
-466.4523719784591,-470.3894175353504
-430.9119383549947,-415.32949316621017
-349.4659129106581,-426.49315654238796
-413.4031154484689,-380.8385887292297
-439.8889329960071,-417.1520466927596
-406.8668901008782,-393.0028581769742
-393.14120040461955,-384.282812985915
-459.23747075014035,-434.78984475235865
-443.48604512794066,-401.6311731679886
-370.70999331567384,-419.1487597202991
-416.5912830742586,-381.3918757149124
-409.0227177868382,-444.1885028413645
-376.93281990184073,-339.5695984765737
-445.25951073802963,-416.9852434718624
-391.33543538735955,-424.679172187936
-424.180782032501,-359.4132170332104
-472.5786435092501,-459.32722584328445
-369.62813221081694,-368.60957852680326
-406.5576818780614,-402.4025963780799
-385.06973346202113,-414.6497795393367
-427.10144791997203,-413.27672807709604
-413.32562715826583,-431.46222336829425
-431.935151710204,-355.7469912730002
-374.23541447479977,-395.218754311592
-362.81214477282896,-411.79610563301327
-352.29581132516375,-413.6415778295408
-379.77632920345906,-420.9538141245562
-399.039283873234,-372.93909854131283
-417.7604254730632,-403.7202835499642
-392.7908967992681,-423.5622755405281
-450.7674995217736,-444.8472532036763
-372.06921646622874,-391.87066810255806
-390.06665382749014,-368.5678975989316
-413.4870721797497,-376.35862896616675
-358.66585487669164,-414.20805797279456
-411.6499509552079,-377.77362601291844
-418.58075767197073,-362.33391253618225
-367.02983064437876,-384.3680421697182
-395.9844209577373,-415.91955822447125
-390.22975001708704,-373.3189170954628
-383.24032477103157,-406.4468352529082
-410.4012803799523,-325.1495470190837
-441.8348450846818,-355.71627265148265
-464.53531471809464,-369.3470218942976
-399.5113812368935,-381.09023140128375
-382.8035888665936,-385.15330153623296
-341.9605055672918,-382.0262134688193
-416.9543169835518,-422.84365331186706
-448.5087458934347,-413.769903889521
-441.44934305697774,-357.1156756319909
-434.7441207690473,-365.05852352491166
-367.8754439977242,-398.4428534789704
-372.7382855057557,-432.2940791095754
-380.04765817839257,-392.8554488355061
-380.49424632774304,-385.90462669431713
-373.8572862224972,-421.695390463681
-445.6351354055977,-380.33957103754426
-382.19228904764924,-440.52572901847645
-350.19248658083495,-323.05621102767674
-366.5136709001273,-348.41726789177
-416.316782703533,-336.5209442170767
-376.4843200904964,-385.89131185857843
-326.4617425522843,-341.88260591062215
-330.57161483964614,-383.6272601704554
-370.3621521991852,-448.5852878034792
-381.5114586177054,-404.13311498340283
