train,test
-416.02713637857926,-519.2105702007572
-487.13377557424513,-501.874046059636
-412.1765360405626,-427.96390858014803
-439.49380469585554,-476.9555804572047
-420.14426846962436,-492.70118076189397
-398.08305821494844,-448.9419627963042
-400.1106958113406,-481.60048488706406
-526.8699146689644,-463.4581611358434
-423.7314776416335,-479.9464850087733
-393.88959452577916,-478.025919047092
-419.6288977251963,-471.5252055608228
-497.77627787446454,-472.02176437042056
-501.16419061924205,-461.3402612843459
-441.03331656146105,-527.1963006032938
-452.5467033477282,-381.2424071364973
-464.35012499173126,-454.6823590231995
-410.30325960707495,-488.0644446922756
-438.3258483110619,-397.0691190993708
-459.0006571401158,-428.1748658494342
-459.24431648680707,-401.18011246505074
-452.7751696477984,-497.950840013208
-398.0738909236693,-495.8377357539391
-503.461023859858,-448.90286250946986
-457.43926639942003,-425.9997350823281
-447.58684809091056,-480.2311531270556
-387.16925539037175,-405.61272237226837
-471.6352210442358,-526.9680660434359
-457.2601219746876,-473.7418962757038
-479.48852584850346,-501.09405051302434
-457.5296608155939,-474.3074222782648
-456.6508365222776,-496.25806522568473
-521.4971129875532,-479.3394670706351
-406.24179958854256,-502.60085593199096
-464.18538428465286,-414.8585154592412
-457.1118458027389,-476.77386871079307
-478.0828776998242,-473.8195476891199
-458.00167942086017,-489.0547365332908
-461.46537793782755,-515.0690027587178
-500.7136219088052,-378.8240907073026
-473.5445892965925,-473.05721188143394
-435.53556264245435,-447.572168368256
-424.97510703346063,-466.58884023358576
-408.8228258011653,-457.75985556008436
-429.11420090034807,-413.548696764893
-531.4457865717087,-457.2966925943168
-425.62248591089553,-407.0767865790746
-445.9102723010693,-475.9549876510473
-474.9304897890874,-474.0057781681968
-492.59130074286526,-437.59765133718787
-428.4322394070224,-501.4879161501317
-465.85328262403834,-484.0157213681154
-478.8619356431774,-472.2025339179316
-437.54941607191597,-523.0726654239469
-465.68396652811555,-437.88429327337855
-445.2746099940275,-411.63307828296706
-481.5405879602397,-442.46376140233684
-451.6045732052717,-448.5096543209057
-444.9713078709234,-432.66346421089474
-447.53419293654633,-441.56211239959237
-438.2090352874767,-482.56085481489146
-403.5527766929198,-513.4958895653208
-401.47828155434036,-421.5022454764886
-437.2724024096843,-408.650915522558
-413.64753746574775,-421.0500695519735
