train,test
-437.8520929062684,-500.68354960225224
-427.6994172165512,-498.67501531544514
-516.9566499130292,-469.4544145525161
-447.1629775761034,-504.83311343713666
-470.49888755192404,-504.97698405101585
-497.77012718043466,-455.7837112760487
-496.6067283815979,-518.4157342843872
-401.747775893052,-466.595949292975
-449.91101987822407,-446.31333840772254
-488.7538828123683,-439.9511342109119
-428.439693864106,-507.7162197456171
-561.4372647181814,-499.0907371263027
-447.69973823545337,-478.8829538641113
-402.1227861098524,-415.24293066685976
-512.1339087234857,-508.55042396388023
-431.47472408267276,-442.1248842355378
-494.1035838625556,-455.81340014027853
-498.40752684343795,-552.4655788939997
-506.79407365998225,-503.12100644383503
-460.09522861928457,-489.47924921215247
-490.1151915179902,-520.9097520450628
-530.2974055980703,-499.4811964101363
-490.6989240959707,-470.44541582124884
-473.76140738877524,-372.7078904133307
-474.486542715658,-447.49944111076985
-483.61587133632395,-473.147182661452
-438.3086808836098,-458.03445036893777
-353.1995410870068,-457.25270052565526
-504.9188773306034,-487.61922502124395
-457.07597832367355,-480.53494647903517
-447.0749140252146,-443.8084767704293
-409.41617707765505,-389.34549975328673
-392.78916718866384,-464.6549714304483
-505.4404951820091,-522.9065504516178
-573.3629123032272,-536.1728584099164
-508.2221612929918,-450.49814377744
-457.23247070588303,-484.1057322645977
-407.9444350943295,-478.82698659046645
-441.68294659031676,-548.0939989583056
-557.6569450873693,-434.8216061404785
-491.9566721244593,-420.4601655089948
-483.0769564172339,-408.62072099616944
-459.31849763492636,-480.30820504614553
-444.5172158709336,-450.5007888252894
-434.7736618829332,-457.814225662984
-498.4568116996868,-486.08679772800633
-523.2554263984359,-473.5738843430972
-390.64621644628284,-375.3827484380921
-507.1980297885325,-473.2206208450514
-481.44446493466,-404.21763805757365
-365.6429095316977,-416.6569285856445
-472.41061937687607,-472.8639783551741
-488.7200140788101,-538.3834361103495
-478.2868925629876,-479.75753264263034
-463.5640220992142,-474.85752240398716
-462.0115075489635,-495.5653551411242
-479.9643624959918,-446.900765424159
-508.43066031481516,-443.85271263549623
-475.2963783043462,-477.93770871840246
-507.5991582442372,-531.4374272241437
-422.468768686541,-441.95484128766896
-436.38919412888356,-387.24213893307257
-441.4217241573807,-417.8322654057388
-452.54554423886907,-444.9920498432424
-383.19479333383873,-466.6589131007727
-409.0294813246176,-394.09509802902323
-453.3536832227469,-501.8446875448205
-423.1055469091603,-494.1059040784356
-464.785677411013,-391.4713451358944
-437.75918945163266,-385.8203628119788
-400.6503224539837,-469.63320242832356
-462.4486394655423,-450.4734213973771
-359.0928942053776,-452.08899077853766
-368.00832110510544,-407.33491549205434
-463.0166749919334,-461.52503352992983
-455.7229182421024,-433.42102685581557
-449.831000240242,-418.57347005734033
-487.74594544193343,-436.1180723723745
-468.1429912285418,-447.9542187302861
-425.21532646714127,-399.60627508410187
-365.95448394930753,-457.19369459248065
-396.96065275552064,-435.53125557413995
-465.24048940473784,-383.38968414570127
-404.7801467904159,-425.7452576005489
-476.02499339436406,-457.0815855164348
-402.08077966782076,-454.64682430386523
-522.8704061265045,-481.7950919868526
-471.578128337571,-418.3884652668529
-485.6898770749484,-457.351239854141
-418.17148859320463,-428.31170571272
-435.93657618880826,-430.77098216478834
-426.3183758351948,-436.2187314692394
-388.14014189337297,-462.1244070192857
-438.25000934532,-401.9810591701684
-469.7444287976667,-469.79790791841884
-429.10124572683486,-470.10609275187375
-417.33692892169523,-409.3135633825828
-425.61960982952303,-416.8714362704921
-429.31479045634205,-420.8550002389997
-455.9784304027868,-423.4301741656132
-390.331083180605,-398.24341422494217
-379.7082261885454,-478.38804271629874
-386.4043527905648,-394.63083670869077
-433.6952607039037,-442.5729333497426
-447.87055516977574,-380.3461623919237
-423.99758082867476,-424.89102213430516
-444.58383780671124,-441.74310543358257
-419.2559261452402,-472.3832645950075
-474.3928908264457,-460.01654459043124
-405.2644439773982,-446.6744855932975
-388.9215479055972,-383.0559872019439
-378.8626593542438,-412.36793686038305
-404.7999763123131,-439.9952011903058
-398.1146949392657,-456.38039179621035
-442.68796339210917,-431.8734332193206
-420.60748829813843,-439.73531003384863
-433.9571848793261,-404.2533163439307
-424.80789447800703,-440.9243554320574
-422.24509246994927,-443.71480446133774
-428.6394034944199,-408.7955599839621
-409.7158312460789,-396.40838544043953
-377.140232497192,-412.6298664588925
-339.9105482407958,-379.53639696887734
-399.77667291674527,-454.5892074919865
-405.07715912990966,-408.0802744841702
-375.7845693076519,-422.0123245864315
-430.521204134387,-351.12441788429425
-379.27109115016265,-411.17141421735823
-370.0076503138801,-456.3600334586676
-400.3881358836247,-462.43428978300904
-463.07015573719326,-379.43807807671
-384.0579977542193,-396.6457628656914
-454.31061918293705,-353.38517732251444
-392.95296942352405,-433.08470803632935
-460.4908905312854,-397.5170954929695
-502.51698961374154,-390.84136787988086
-369.0013362738509,-402.49556922615403
-459.1461238003504,-357.784697588041
