train,test
-437.8520929062684,-500.68354960225224
-427.6994172165512,-496.76961475303875
-516.858526991507,-469.54369428196287
-446.5216199537621,-504.5237027602223
-470.47807524623266,-504.9501187006201
-497.463332417752,-455.1566919667858
-497.27690411764195,-518.9490403144331
-401.1422623435822,-466.0438973855986
-449.77345052304406,-447.39318908977634
-489.44409702341653,-440.4890448334673
-427.8288654967282,-508.58662673263177
-562.0296095863206,-498.28555622991166
-448.38598906761524,-479.0903143026929
-401.0525847663084,-414.1955272389665
